Product Name,Price,Brand,Category,Description,Rating,Review Count,Style Attributes,Total Sizes,Available Sizes,Color,Purchase History,Age,Fashion Magazines,Fashion Influencers,Season,Time Period Highest Purchase,Customer Reviews,Social Media Comments,feedback,Age Group
T5D3,97.3,Ralph Lauren,Footwear,Bad,1,492,Streetwear,"M, L, XL",XL,Green,Medium,24,Vogue,Chiara Ferragni,Fall/Winter,Daytime,Mixed,Mixed,Other,Young
Y0V7,47.0,Ted Baker,Tops,Not Good,1,57,Vintage,"M, L, XL",XL,Black,Above Average,61,Glamour,Leandra Medine,Winter,Weekend,Negative,Neutral,Other,Senior
N9Q4,6.0,Jigsaw,Footwear,Very Bad,4,197,Streetwear,"S, M, L",M,Blue,Average,27,Marie Claire,Gigi Hadid,Summer,Nighttime,Unknown,Negative,Neutral,Young
V2T6,79.0,Alexander McQueen,Outerwear,Not Good,3,473,Formal,"S, M, L",L,Red,Very High,50,Marie Claire,Chiara Ferragni,Fall/Winter,Weekend,Neutral,Other,Other,Senior
S7Y1,24.0,Tommy Hilfiger,Bottoms,Very Good,1,55,Sporty,"M, L, XL",S,Green,Above Average,23,Glamour,Song of Style,Spring,Daytime,Positive,Mixed,Positive,Young
N5B8,40.2,Alexander McQueen,Outerwear,Very Bad,3,317,Streetwear,"S, M, L",M,Blue,Negligible,28,Fashionista,Olivia Palermo,Summer,Holiday,Positive,Negative,Other,Young
W9E4,67.2,Ralph Lauren,Bottoms,Best,4,356,Edgy,"S, L, XL",L,Black,Very Low,54,Glamour,Kendall Jenner,Winter,Daytime,Positive,Other,Negative,Senior
T4D0,81.4,Calvin Klein,Outerwear,Good,1,487,Edgy,"S, L, XL",XL,Green,Average,27,W,Aimee Song,Summer,Nighttime,Mixed,Mixed,Neutral,Young
W3E2,47.6,Jigsaw,Bottoms,Best,5,194,Sporty,"S, M, L",XL,Blue,Very Low,35,Glamour,Kendall Jenner,Fall/Winter,Nighttime,Mixed,Negative,Neutral,Middle-aged
Q8I0,67.2,Tommy Hilfiger,Tops,Very Good,4,391,Minimalist,"M, L, XL",L,Red,Negligible,24,Vogue,Song of Style,Spring/Summer,Daytime,Positive,Other,Negative,Young
L9V7,0.5,Tommy Hilfiger,Outerwear,Not Good,4,77,Preppy,"M, L, XL",M,Blue,Significant,33,Harper's Bazaar,Olivia Palermo,Fall/Winter,Holiday,Negative,Mixed,Negative,Middle-aged
V4X4,63.9,Calvin Klein,Outerwear,Worst,3,187,Glamorous,"S, L, XL",S,Blue,Medium,47,Grazia,Chiara Ferragni,Fall,Evening,Mixed,Positive,Unknown,Middle-aged
R8M8,67.3,Jigsaw,Bottoms,Worst,4,127,Streetwear,"M, L, XL",L,Black,Above Average,58,Glamour,Chiara Ferragni,Spring/Summer,Nighttime,Unknown,Neutral,Neutral,Senior
W2G6,31.5,Tommy Hilfiger,Accessories,Best,2,357,Sporty,"S, M, L",M,Black,Very High,54,Grazia,Chiara Ferragni,Fall,Weekend,Unknown,Other,Other,Senior
L2Z4,49.0,Alexander McQueen,Footwear,Very Bad,4,134,Minimalist,"S, L, XL",M,Black,Medium,34,Fashionista,Gigi Hadid,Summer,Evening,Mixed,Positive,Positive,Middle-aged
G0T5,12.7,Ted Baker,Dresses,Not Good,3,281,Casual,"M, L, XL",S,Green,Below Average,36,Cosmopolitan,Chiara Ferragni,Summer,Nighttime,Neutral,Neutral,Other,Middle-aged
X8N2,67.3,Ted Baker,Swimwear,Very Good,2,454,Streetwear,"S, L, XL",S,Black,Very Low,39,Glamour,Aimee Song,Spring,Daytime,Unknown,Neutral,Other,Middle-aged
B3L2,81.6,Mulberry,Activewear,Very Bad,2,446,Bohemian,"M, L, XL",S,Green,Very Low,25,W,Kendall Jenner,Spring/Summer,Evening,Mixed,Unknown,Unknown,Young
M3F2,52.5,Calvin Klein,Footwear,Very Bad,4,260,Edgy,"M, L, XL",L,Black,Average,60,Elle,Julie Sariñana,Summer,Holiday,Neutral,Positive,Neutral,Senior
Z3M4,66.1,Ted Baker,Lingerie,Very Bad,2,20,Sporty,"S, M, L",L,Blue,Medium,23,Elle,Olivia Palermo,Summer,Daytime,Negative,Neutral,Unknown,Young
F0U3,3.4,Jigsaw,Footwear,Good,2,380,Streetwear,"S, L, XL",M,Black,Low,22,Fashionista,Leandra Medine,Fall/Winter,Weekend,Positive,Neutral,Other,Young
C8Y9,62.7,Calvin Klein,Outerwear,Not Good,5,322,Sporty,"S, L, XL",S,Black,Below Average,28,Fashionista,Chiara Ferragni,Spring,Daytime,Neutral,Neutral,Unknown,Young
